Coment,Status
agilla bari nam kakulama hari gaha ganin ahinsaka mawa owata gawa gnna epa hutto mekata report ekak gahapan link eka palaweni comment eke,Hate
oya bothal walin gahapan,Hate
puluwan tharam paw karapalla karumetawath pin karala pinketha hela ran derane epadunoth ehema hukala hamarai,Hate
athal dannathi pakku mekata ringuwama meka wenawa,Hate
taukanda me aththatama ubada waraththu fake pakku hama thanama ekai ahuwe,Hate
anith unge phonewalata ebena pakku,Hate
current eka awa hutto dan ethin kon weemen thorai pruthugeesi pakku paradena hati balanna puluwan,Hate
thopilata athal gnna on aunama mage podi kale ekek hari kamak na neda neddakin pakku tika,Hate
paiyen hithan apakku set ekak tuwitaretath bahala akkala nangila molen hithala parissam wenna,Hate
api thamai danna deyak puluwan tharam hodata kiyala denne wena un ehema na kari kuhaka pakku,Hate
facebook pakku okkoma meke ringala mekath epa wela thiyenne,Hate
pakislanthayen wahama pakku genath lankawe padinchi kirimata dagalana kona nathi amathi pakaya,Hate
warewko lankawata oun indian pakku,Hate
pakku newei bn indiyawa ekka gahanne,Hate
eka hoda wadak nathinam upadiya aran maru wena pakku inno,Hate
galle inne lonthapol gon pakku,Hate
mu gahana hati balanna pakkuwath gahanna ona,Hate
pakku hodata pukawal nam athulla gannawane,Hate
malli thambiyo thethun denek maruwa nan hari,Hate
me gari thambiyo maha puduma karumayak mun elawanna ek weyaw,Hate
ponna rila sakkili haththa waduro kussiyata panala wage,Hate
meka hadapu ekage mulu pawla pitin hadi gawila pala,Hate
mata bombayak diyan okkoma ekathu karala man maragena marenawa ammapa,Hate
muntabomba gahala maranna oni salliwalata balayata perethakame rata winasa karanawa ponnayo tika,Hate
me wage kari balloth ekkada ban rata karanna yanne mahinda awath sajith awath,Hate
searama wesa badu unama oka thama wenne,Hate
watetama liyum issellath awa ewa ahuwanam ada kotiya ubeth ata deka galawan gihilla ponna toi page karaya,Hate
gahala dapan iwarayak wenna,Hate
set ekama innawa welawak balala pupurawanna,Hate
oluwatama wedi thiyanna kiyala me parath kiyanna,Hate
lankawe me wage gon badu form karana eunta gahanna one,Hate
kasadayak kiyana uthum detath me ponnayoi wesawiyoi ekathu wela winasa karanawa munwa raten pituwahal krnna one,Hate
kawda ban me ponnayo dennai wesa baddai,Hate
mekath mokak hari hukana athal ekak wennathi munge,Hate
mewa dakkama sasara kalakirenawa hutto,Hate
gon haththa piligannawane munge baila,Hate
dan meka balala gihin arinna kiyalada kiynne hutto adala nathi huttawal danna nam puluwan wadagath video ekak danna ba ane hukanna,Hate
kauda  hutto interval ekedi kamarawa on karan hitapu paraya,Hate
muge thaththa eda kondam ekak damma nam me wesige ponnaya nane ada,Hate
wesiyekui awajathakayakui mada ponnayek dena athal,Hate
me wesa kandayama lankawen panna damiya yuthui,Hate
huththiyo sinhala nam sinhalen katha karapiya nathanm ingrisiyen katha karapiya puka nodi,Hate
ane palayan hutto anunge pawul kadanna epa gon wesiye thopita lajjawak na tho mokatada u bande kalinma yanna epai oakath ekka,Hate
wifi thibunai kiyala phone update karan ynna gedara kelagena anna epa thopita hena gahanawa bila gewa gnne bohoma amaruwen hora pol kadala,Hate
koti hitapu koti kotinta udaw karapu un wisin diwiyeku mara damu e kujeetha mohotha hena gahanawa okunta,Hate
manawa sampath kalmanakaranaya kiynne me loke thiyana kalakannima rakiyawalin ekak okunta wahi nathi hena gahanawa karana wadawalata,Hate
aye warenko eka sarayak hari man gawata ammapa podi eki kiyala balanne na gahana eka gahanawa oluwa palennama hire giyath sapai ban hena gahapiya,Hate
mage hitha gawa daga dapu manamaliye nuba gini thiyala mal yahana kohedo giye hena gahanawa bola me wage hipatu wada karanawata,Hate
haa oyata hena gahanawa kiynne mona aparadayakda aparade e hene,Hate
muta ridila aru elewwata muuth samanalayekda koheda sammanaya puke gaha ganin,Hate
pake police hukannala ban mun,Hate
hada gannawanam hutto gedara ekkan gihin kanna bonnath dipiyaw mata,Hate
mona wesakamakda utto me meta wada hodata aru video gahanawa,Hate
mokekda me thaleta sinduwak kiya ganna bari ponnaya,Hate
mokakda hutto meken dena adarshaya baduwak ekka yalu wela nomile daily fuking krnna kiyalada ane hukan,Hate
hukana athal gannawa kiyala mehema athal gnna epa,Hate
tho baduwak ubala okkotama ballo dala gassanna one owa ban karuma belle wala da ganin oita wada nambui,Hate
monada hutto e kiuwe mada edan iwara wenakan therunna taukanda,Hate
thu nodakin gon wesiyo,Hate
thota sinhala barida wesiye muta demapiyo nadda,Hate
eka huththakin kiyapanko thopila wage api kalawam na,Hate
mudukku badu salliwalata ona paiyak kanna balagena inne,Hate
muta  patiyata ada gahuwanam e karadareth iwarai hutta,Hate
munta hena illanawa arenna wena karanna deyak na mokada munge salliwalata rate maha ekath yatai,Hate
ponnaya thowa hadigawilama palabuki palaya,Hate
adala nathi huththawalne yako mewa,Hate
ane aiye eki boru wesiyak,Hate
me huththige puthawa penna ba mata,Hate
wesakame yana unwa sudda karana gobba youtubekarayo,Hate
aran puken  thiya gannawa kiynne okata thama kalin video eketh ubata oka kiuwa bokka,Hate
thu nodakin thopi wage un thama marila ynna ona ratata sapayak,Hate
me wesi gal gahala maranna oni,Hate
awasanawantha wanena pake neethi,Hate
me wage wesiyo genalla hits gnna hadanawanam eka wililajja nathi wadak,Hate
unuth kamathinan yana ekath kamathinan mona pakakda pare yana eunta balen hukannada kiynne,Hate
uge ammage yata eka eranna oni wesige puthage yata eka thalanna oni apayema palayan,Hate
karumeta hukala pawata bihiuna un nisa puduma wadayak muwa hadanna ba kalakanni,Hate
me kollekda ata deka haluna ponnayekda labba bahapu tik tok wesa ganiyekda,Hate
mona huththiyekda me 🤣 🤣 wal bailane kiynne kari wesi,Hate
wadakata nathi thanak baluwoth mu innawa kari wesi,Hate
kondam eka otha ganin ata deka wate ponnaya mekage wadasatahanwalata anne gonma gon wesa badu,Hate
idakin ponna huththige putho ratata wadadai deyak karapan me wage wesawiyo famous karan nathuwa,Hate
hutto gon badu genath form krnna epa,Hate
ammatai duwatai dennama eka adata aran hukanna puluwan seen ekak thiyenne mmmm 😂 😂 😂 🖕 dara badu dekak mmmm,Hate
naki huththawalne ban 😂 😂 😂 gon wesiyo,Hate
uba palayan indiyawata huththi 😀 kari wesi hutto,Hate
yako samaje renna epa mewa balana thopita thalanna one maduwaligayen awe kiyala yannamai 💩 💩 💩,Hate
gonek uba wage kari wesa hutto,Hate
kollonta asahane na wesiye bola wate giyata aualak nadda,Hate
meki puke witharak arinna dena wesi,Hate
modlin mona huththawalda yako me,Hate
hutto thoge labba bahalada,Hate
para balliwa nidahas kale ai,Hate
kudu neme wesiyo badu gahala ynne idakin,Hate
mal ponnaya puke arala maranne ballo,Hate
nirogi daru petiyak lebavaa ,Neutral
subscribe share karagamu yaluwane ,Neutral
mewage video karana ubalth ponnayo,Hate
video eka therumak nawage,Neutral
chiyaaaa mekage vidiowala katha,Neutral
anemongale hati vitarak kannadiyage,Neutral
kalaguna salakeema uthum kriyawak,Neutral 
attha kathawa policye obalata budusaranai,Neutral 
oyage thsppe suddakaranna diyasewal badila ,Neutral 
pramithiya wadikamateda kadan watune,Neutral 
theruvan saranin yahapathakma veva,Neutral 
kalakanni media karayo shit,offensive
samitha adare ubata godak,Neutral 
uba okith ekka sapakgthaneda,Neutral 
chandimal kiyanne gon ponnayek,Hate
henama gahapiya wesa ballita,Hate
niyama weerayek obata niwansuwa,Neutral 
puduma kasillak munta thiyenne,Neutral 
kondak thiyana officers kenek,Neutral
kohoma gehuwath million lebenawane,Neutral 
pattama boru gahanne meki ,Neutral 
kattu vessiigge kttta balahnnkoooo ,Hate
pasindu nikan boooruwek wage ,Neutral 
mawa subscribe karannko ayyaa plizzzz,Neutral 
karumeta gahala akalata haduna wesiyo,Hate
mekada lankawa miucik divunuwalakiyanne,Neutral 
ekka thavasatta thenda puluvagtha,
awagataka wesiyanta hoda wede,Hate
mewa nisa ayeth corona,Neutral 
pissek kiyala mona karannda 🤮,Neutral 
clothes nathuwama awanm lassani,Offensive 
wesa badu tika kohomada,Hate
mewa balanna apith ipadunane,Neutral 
galle aramaya theenne koheda,Neutral 
hoda vada kamba huttiyanata,Hate
gevithe ahapu watinama kathawa,Neutral 
mage hithata shakthiyak dunnata 💖 💖 💖,Neutral 
mu polgahawela mata dannawa,Neutral 
mun denna dakemath appiriyai,Neutral 
munwe loyasle aliyate gannewe,Neutral 
harima vadagath bohoma isthuthi,Neutral 
makabawilama pala paduru wesi,Hate
galu policeyama awwilla yako,Neutral 
aperate wagemai budu amboo,Neutral 
siwrata paribawa karana yugayak,Neutral 
anushage katata denna thibanm,offensive 
pavithra vaga kiyanne ona,Neutral 
adari tundenthama pariissamin innw ,Neutral 
flash kyne heshithada manda 😃 ,Neutral 
meuwane yako videos ela iraj,Neutral 
mewa subscribe karrane kohe amaruawatada,Neutral 
hamba kariyo koronavalata vadaloku yrasaya,offensive 
irajwa yakoo himalaye ayath aduranawane  😂,Neutral 
hasinige thola thiyenawada balapan poddak  😂 😂 😂,Neutral 
thoge sinudwala rap naa bn,offensive 
abiman ponneya hasirenne buruwek wage,offensive 
supiriyata shooting karala thiyanawa bn,Neutral 
chandrajothi apu kellek neda mee ,Neutral 
obagay illeemak saadharanaiyeya ikmanin ituwaywaaiy pathami,Neutral 
maru baudha rata ena gapiyaw,offensive 
komada ban meva ragapanne,Neutral 
corona ikmanin suwa wewaaa,Neutral 
chamusri thama paraku ae,Neutral 
maru vidio eka manakkalpitha patta,Neutral 
maru manakkalpitha maru supiri,Neutral 
sosejas apa une mata vitharada,Neutral 
thuk witharak kaeri weasiyo  🍆 💦,Hate
anee dewiyanee wechcha aparadayak,Neutral 
tho tirasanek kari balla,Hate
mugwa hire danna hone,Neutral 
lankawe siyaluma branidix factory vahala damiya yuthui,Neutral 
aiyo police owath wedada,Neutral 
menssu hagala karanada oya keyanawa,
rathtaran huttak meen balapalla 😂 😂 😂 😂,offensive 
kiwwa samahara ewata agry,Neutral 
mokakda humpy dumpy kiynne,Neutral 
Sauger mami kiyanne kauda,Neutral 
piyumi therenne ranjanta sepa denawani,offensive 
mewage wadasatahan ae karanne,Neutral 
me haamuduruwange kisima seelsysk naha,Neutral 
chandi maltama hodai mewa 🤣 🤣,Neutral 
goda daapu malu wage 🐡️ 🦈 🐠 🐟 🐋 🐬,Neutral 
aththamai mun manasika leddu,Neutral 
puthek hurathaleta ammawa imbinawa wage,Neutral 
sinhala kamatath jathiyatath lejjai,Neutral 
mata nikan pissu wage,Neutral 
munta corona nathdako bn maske 😷 😷 😷 😷na,Neutral 
ayiooooo lankawata una de,Neutral 
menne meyage hari numbes,Neutral 
kochchara ahuwath epawenne nane 😊 😭 😭 😭 😭 🙏 🙏 🙏 💪 💪 💪 👍 👍 👍 👌 👌 👌 👌 👌 👌 💖 💖 💖 💖 💖 💖 💜 💜 💜 💜 💜 💜,Neutral 
harima lassanai hithata waduna,Neutral 
atalugamata yawanna stf aka,Neutral 
kari thambi wedi thiyannepai kotma,Hate
kari thambiyo okunta apadenna epa,Hate
nodakin nakiyage val kama,offensive 
deumige hurathale amme ithin  😂,Neutral 
ganu lamayntath hoda paadam,Neutral 
obata jesu pihitai sir,Neutral 
mokaada yako unlike kare,Neutral 
obata dalada samidu pihitai,Neutral 
ape vahallunta honda padam,Neutral 
oba siyalu denatasuba anagathayak prarthana karami,Neutral 
ake sitin gaurawa karami,Neutral 
naduwa ahpu ekata sapavewa,Neutral 
supiriy kiyla wadak na obathumata dirgausha,Neutral 
maki kiyanni patta boru ,Neutral 
me mona mala vikarayakda  😂 😂 😂 ,Neutral 
pala hukanna to ekiva beraganne ,Hate
budu saranai akitai chuti petiyatai ❤ ,Neutral 
dakinakota asa hithenawa akkiyo ,Neutral 
wadak nathi kunugodaval admits ep yko ,Neutral 
mekita kollek netham marenawa  😂 🤣 ,Neutral 
soya meet unanm iwarai ,Neutral
lankawe garment factory nathi kala yuthui,Neutral
meka samaharavita kadakapal kriyawak wenna puluwan,Neutral 
anduwata kiyanne thawa kiri powapanala thambinta,offensive 
ammo rayan ubt duwala innavanam genenko,Neutral 
samanalayoi ganikawoi akata akathu wechcha samajayak,Hate
dhammika illamuda next presidential election ekata,Neutral 
thamange jeeevithe vinasa karagena anuta upadesdenawa ,Neutral 
malkanthita wena huttiyk ganna epai,Hate
supiri niyama paniwidayak danawa samajat,Neutral 
huththo gani pukadela eka hoyapan,Hate
mona hutthekda ban ara ponnaya,Hate
apita yoga kiyala denna barida,Neutral 
wesa balliye ube ammath baduwakda,Hate
aru koiwele beluwath mole inne,Hate
bomba thiyenna okige huththa athula,Hate
ithethe pariya ivanmaar comment idane,Hate
nalu niliyan natanneka pudumayak nowe,Neutral 
ranjan sugar daddy kenek wathda,Neutral 
ranjan paul bara daraidooo kamkne  👍 👍,Neutral 
mona lajja nathi sinduda mewa,Neutral 
priyankage bayankara pol komba wala 😁 😁 😀 😀,offensive 
kawda yako mewata dislike karanne  😡,Neutral 
madhaa ekek wenuwata hayskma giyaa  😅 😅 😅 😃 😃 😃 😃 😃 😃 😃 😅 😅 😃 😃 😃 😃 😃 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂 😂,Neutral 
ko ara muslim adikarana emathi,Neutral 
ammo munge kichi bichi sadde,Neutral 
mun kara jathiyak para thmbiyo,offensive 
niyamai abi oyawage ganu mokatada,Neutral 
peraka doru okotama wediya ponayek,Hate
ko police thuwala una aya,Neutral 
waha palane raga tamai oya,Neutral 
koti gani shapa wewa ubata,offensive 
ara miniha oxygen nethuwa merenne,Neutral 
ane latha mata papuwa rideenooo,Neutral 
aiyooo ape husmath hirawenawa appa,Neutral 
warenko phi ammata hukola arinne,Hate
phi viruddawa nithya kriyathmaka karanna,Neutral 
phi ballo corona hedila meriyan,offensive 
anomata salli deela nadda kavurut ,Neutral 
heshithayath ekakwa form karanawa ne  🤮 ,Neutral 
video eka nam anthimai,Neutral 
hutaaa hikila giya kiyahankoo,Neutral 
mn ave comment kiyavanna,Neutral 
mankalpita tika witarai lassna,Neutral 
monawa karannada harima dukai,Neutral 
ahinska minissu yakooo me,Neutral 
lankawe siylauma brandix factory gini thaba vinasha karanna,Neutral 
maga ratta budu saranai 😢 😢 😢 😢 😢 😢 🇱 🇰 🇱 🇰 🇱 🇰 🇱 🇰 🇰 🇼,Neutral 
samitata math adare huththiye,Hate
mekita oona loku ewa,offensive 
pansalak hadala dunnanam pin,Neutral 
ketiyen kiuwoth gon huthtiyek 😂,Hate
kawda bn me nisansala,Neutral 
wasakam karapan lankawan pita,Hate
fiit kiyanne thani ponnayek,Hate
mun maha badune kohomath,Hate
anga hiri watuna lt;,Neutral 
badaginne idla marenna diyn,Neutral 
tambingen ape rata beraganimu,Neutral 
kenthi ganada ban ledek,Neutral 
lihiniwe mate penanne be  😒 😒,Neutral 
lihini marei wage neda,Neutral 
lihinita anuhas set karanna,Neutral 
godak watina video ekak,Neutral 
menna rata hadana minissu,Neutral 
paw ethin niwansywa puthy,Neutral 
ane huke gon baduwk 😅 😅 😅 ,Hate
raganawa wedi pada sewala ,offensive 
kollek innawa u ponnaya ,Hate
ashen ponnaya eerisiya karayek ,Hate
annn godk innwalu kello ,Neutral 
rashila policeyata kiyanawa loiduth minimarumata sambandaii kiyala,Neutral 
vithna rathnayaka gayakayata gahapu sinduwak neda,Neutral 
oka victor rathnayakata gahapu song ekane,Neutral 
me sinduwa awilla awrudu kuth giya  😮 😮,Neutral 
niwansuwa siyaluma danata godak dukai cutiputa,Neutral 
lulika oyata hitha ganna bariwada inne,Neutral 
niyama baduwak kiyala hitune mata vitarada,Hate
sadde dnkota aru file eken whagrna 🤣,Neutral 
lassna parisarayk lassanata hadala thiyei hamuduruwane,Neutral 
jathiyak awasanaya ballanta dawa lamaida kohe,neutral 
iya kanawa mune ganukama wanchara baliyo,offensive 
ko balla comments vithrk balana un  🙂 🤣,neutral 
mewata banine sinduwala rasayak nathi ewn,Neutral 
janathipathi thumani ohoma giyothin obathumata awurudu,Neutral 
pooja kuduwe innawa balannaasa kattiya  👍 danna  😛 😃 😜,Neutral 
oka marapiyau yako minissu ekathu vela,offensive 
policeye denna pau ikmanin suwawenta one,Neutral 
meke comment dakkahama lankawe inna  🐂 🐂 gobboyo,Neutral 
janapati gotabhaya metidunge awadhanayata yomu wewa,Neutral 
ali subri mewage genunta sadaranayak karanna,Neutral 
thambiyelta kiyala hukaganna kiyahan keri wesita,Hate
ea unata ape eunge jathikathwaya khomada,Neutral 
hamptama adarshyak adambarai sinhala yek widihata,Neutral 
polisiye me uthum kriyavata mage gauravaya,Neutral 
nodakin kalakaniyo ratama kanaws wesa badu,Offensive 
jaathiwadhi wesige puthek thamai hiru aithikaraya ,Hate
janadari akka oyawa samabanda karagane kohmda ,Neutral 
wrathnayaka mathak une mata witharada,Neutral 
eake kisima dheyak thibila nadhdha,Neutral 
meeta passe brandix yanna epa,Neutral 
kalakanni hena gahapiya karapu unta,Offensive 
meekanam balagena idala hariyanne na,Neutral 
puke erala katata denna hodai,Offensive 
malli oyata puka arinna asi,Offensive 
wililajjai mariyan oita wada hondai  🙏,Offensive 
nambarayak dhenna barydha patta hodee,Neutral 
mokadda me sugar mami kiyannee,Neutral 
patta bn hina kala merenawa,Neutral 
pissu huththek mokedda ane mu,Offensive 
ane oba wahanse godak pin,Neutral 
puke arinna thiyenne house paken,Hate
arutt gahanna wage balanne balliyee,Offensive 
gom bettak ehem pitinma mu  😂,Offensive 
wedi thiyanna epai labba hemininne,Hate
thambi kuddo saha sinhala kuddo,Offensive 
ude pandara motivation ekak matanm  😎,Neutral 
abhiman buruwek ne ayyuu appa,Offensive 
wen sinduvk thibun ndd ane,Neutral 
lihinita ohoma dukk denna epa,Neutral 
deumiwa nam pennanda ekita mola,Offensive 
janadepate tumane tata barai ubathapute,Neutral 
kisi quality ekak nathi apatayek,Offensive 
me horu training une koheda,Neutral 
mun rata winasa karalla ewarayi,Neutral 
police yen navatthana ekkak na,Neutral 
pahadili madi visthara karapu hati,Neutral 
ki dawasak ohoma lassanata thiyaida,Neutral 
lajjaei oooiiii rataketa giyapu kalak,Neutral 
arabi walin higa kapu salli,Neutral 
niduka nirogi wewa budu saranai,Neutral 
maru hoda nirmanathmaka idiripath kireemak,Neutral 
gon badu form karanna epa,Offensive 
ammpa me wesiyont lajja nane,Hate
sinhalen kiyapan ganiye therenne na,Offensive 
niyamai hina wela badath ridanawa,Neutral 
meka beluwoth okkotama therei katawa ,Neutral 
ponna pakek bn uba heshitayo ,Hate
meka haipai suppata denna wenawa 😅 😅 😅 😅 😅 😅 ,Neutral 
teruwan saranai niduk nirogi wewa  🙏 ,Neutral 
badu foom karanna epa lollo  🖕 ,Offensive 
eya ane wadagath video dandako ,Neutral 
baddduuuu foorm kalnnna kamlliiii brdddddsds ,Hate
wadak athi deyak krapan yako ,Neutral 
ado ballo gamwalata baninna epa ,Offensive 
ponnayek ekkan giye aparade heshan ,Hate
mechcharacal jevath karapu garment corona nesa baenum,Neutral 
nedakin vitharak munta thiyana kulappuwak nahadichchi ganu,Offensive 
gaaikawak vidiyata nm bohoma kmathei chariyawanm appiriyai,Neutral 
hana kawuda kiyala hithenawa yohani oyanam superb  ❤ ❤,Neutral 
kari  👹 👹 thambi pakaya ussala polawe gahanna oni  👹 👹,Hate
apo pujawa be ragannaepa ehemaunoth nitiya walwadinaw,Neutral 
bahujathika samagamwalata wikinene un kohomada rata hadanne,Neutral 
good work namuth chanda illanda yanda eppa,Neutral 
munva melokayata jataka karpu demaupiyange veradda putha,Neutral 
mokdda wesawo me ponna vishuwal idakin,Hate
me ara kurunegala lamyane 😁,Neutral 
balana un me peththata,Neutral 
me wage jarawa report karamu yaluwane,Neutral 
mn kamathi smokiyo ta ♥ ♥,Neutral 
ela hutto td rapa,Offensive 
mema seen sirawatama wenwda 🤭 🤭 🤭,Neutral 
niyamai mana denda tokkaa,Neutral 
ammaga kathawata nam adenawa  👅,Neutral 
sithaage hamadama asha vela ekane yalu,Offensive 
patta song eka well done iraj ✊ ✊ ✊ ✊ ✊,Neutral 
inna lassana sarama mokjuth nounawa waga,Neutral 
kari tambinge amata huwala ganna one,Hate
mun chanel walata gaena ewn ponnayoda,Hate
 😀 😃 😄 😁 😄 😂 🤣 😇 😆 😁 😄 😃 😀 😜 😛 😋 🤩 😍 🥰 🤪 😝 😘 😆 😁 😄 😃 😀 😅 ade mata hinai hutthooo,Offensive 
waga kiyanne neththam mokatada huththo gennuve,Hate
