Coment,Status
ස්මෝකි උබ ඉවරයි බන් ෆිලා එක්ක හිටියොත් චාටර්,Neutral
අම්මට හුකාපු ගොන් හුත්තිගේ පුතා සමාජෙට ආදර්ශවත් දෙයක් කරපන් 😣,Hate
බලන්න ආපු අය කෝ 😁 😁 😁,Neutral
මෙක බලලා අතේ ගහපු උන් මේ පැත්තට 🤣 🤣 🤣 🤗,Neutral
ඉරජ් ගෙ වොයිස් එක ඇහෙනව ඒත් එයා කෝ,Neutral
පකයා බල්ලෙක් වගේ මැරිලා ඉන්න එකත් දාපන්,Hate
මට නම් ඒ සිංදුව ලස්සනයි 😌 🎀 🌹 🌹,Neutral
ඔබ වාසනාවන්තයිනම් පමණක් මේ ලින්ක් එක බලයිඉවර වෙනකන්ම බලන්නමේ සංසාරෙ වටිනාම පැය වෙයි  🖤,Neutral
කෙල්ලගේ වගකීම මම භාරගන්නවා  😘,Neutral
ඊය හුත්තො ඉදකිම් කොලූ කාර හැත්ත  😅 බ්ලෑක්කා,Hate
විනි ලග අසම්මත පෙම බලලා අවේ 😂 😂,Neutral
මේක බලන උන් ඉන්නවාද,Neutral
කොහොමද හුත්තො මේක පාඩම් කරලා වත් කියන්නෙ 😹 😹,offensive
විනීලගේ අසම්මත පෙම එකේත් බෙල්ලේ වැල දාගන්න ගියපු රැවුලත් ඔය විඩියෝ එක බලලා  👈 😁 😁 😁 කොලු සීන් එකේ ආවේ 😆 😆 😆 😆 😆 😆 😋,Neutral
රාවණාගේ යඛ්කයින්  😂 මං මම ගැන ආඩම්බර වෙනවා,Neutral
මටත් දවසක මගෙ කෙල්ලව මේ වගෙ එක්කන් ගිහින් බන්දන්න වෙයි ඒක හිතෙන කොටත් පපුව පිච්චිලා යනවා  💔 😭,Neutral
අපොයි දෙයියනෙ මොනවද මෙ  🤦‍ ♂ 🤦‍ ♂ 🤦‍ ♂ 🤦‍ ♂ 🤦‍ ♂,Neutral
කොලුකාරයො ලයික් කරපම්  😂 😂 😂 😂 🖐️ 🖐️,Neutral
බුදුඅම්මෝ මොකක්ද මේ  😂 ❤️ 😂,Neutral
සමලිංගිකයොත් මනුෂ්‍යයෝය ඔවුන් කොන්කීරීම හොදනෑ,Neutral
චමු ශ්‍රී උබ ලොල්ලෙක්ද බන්  😂,offensive
අම්මො බයත් හිත්‍ර්නෙවා 😑 😑 😑 😑 😑 😑 මෙහෙම ගියොත් අබ සරනයි 😑 😶,Neutral
කුමක්ද රෝරි හිතුවා මෙය ඇත්තෙන්ම දෙයක් සහෝදරී ෆියෝනා සහ ලොකු ෆර්ගස් උර්විල් මෝඩ කෙල්ල බොහෝ විට ඇගේ ශරීරයෙන් පසුව පමණි,Neutral
අම්මා තරම් ආදරේ කරන්න බෑ මේ ලෝකේ කාටවත් ම,Neutral
අම්ම වගෙ ආදරෙ කරන කෙනෙක් හොයගන්න පුතෙ,Neutral
ඇයි බන් මැරිච්ච මනුස්සයෙක්ටවත් පඩුවෙ ඉන්න දෙන්න බැරිමේවා බලන අපිත් පවුකාරයො,Neutral
අන්තිම ටික පට්ටහොද ආදර්ශයක් තියෙනවා,Neutral
හොර ගෑනු හොයන් යන බල්ලොන්ට මෙහෙම නෙමේද වීඩියෝ හදන්න ඕනේ නියම වැඩක්,offensive
ඒ මාකට් එක නම් අපූරුයි,Neutral
ජනප්‍රියත්වය ආදරය රාගය තෘප්තිය තාවකාලිකයි ඒත් අම්මගේ ආදරෙ සදාකාලිකයි,Neutral
මෙයින් එලබිය හැකි නිගමනය නම් - කෙල්ලන්ට කට වටේ ගා ගන්නැතුව අයිස්ක්‍රීම් කෑමට නොහැකි බවයි,Neutral
වික්ටර් රත්නායක මහත්තයව මතක් උනේ මට විතරද  🙄,Neutral
මගේ පුංචි රෝස මලේ මමයි නුඹේ වියපත් බඹරා  🤣 🤣,Neutral
විල්සන් ලෙසි නැ පොල් ලෙලි ගහන්නේ නරි කැරියා,Hate
මේ රටට මෙච්චරයි අඩු වෙලා තිබ්බේ,Neutral
මන් වීඩියෝ එක ගැන මුකුත් කියන්නෑහැබැයි සින්දුව නම් ලස්සනයි,Neutral
සුවද දැනෙ කැකුලු මලක මල් පෙති අතර තනි උනාම මුලා මාවතයි අන්ද මන්ද,Neutral
කොමන්ට් ටීක කියවන එක වෙනම ආතල් එකක් යකෝ 😂 😂,Neutral
වික්ටරත්නායකට ගහපු සින්දුවක් වගේ  🤔 🤔 නාකි විසේ 😂,offensive
අවුරුදු ක් ගතවෙලා ආපු දවසේ ඒ වෙලාවේම බැලුවා ඒත් තාම අහන සිංදුවක්,Neutral
සුද්දොත් රිවීව් කරපු එකක්නේ මේක,Neutral
කොහොමද පියුමිගෙ කුක්කු චූටි උනේ  🤔 🤔 🤔 😃 😃 😷,offensive
මේ සිංදු ව දැක්කාම වික්ටර් රත්නායක මොනතරම් දුක් විඳිමින් ඉන්නව ඇද්ද පයිය කෙලින් වෙන්නෙ නැති හින්දා,offensive
පියුමිටත් අම්මේ කැමැත්තෙන්ම ආවද ඉරාජ්,Neutral
ඊය යකෝ ඒ විශුවල් එකට බඩත් ගියාබන්,offensive
අවුරුද්දකට විතර පස්සෙ ආයිත් බැලුවා රිදුනා 😂 😂 😂 🙂,Neutral
යකූ ලයික් වලට වඩා අන්ලයික් නේ තියෙන්නෙ  🤔 🤔,Neutral
මෙහි සැන්ගුනු අර්ථය තම ක්ශේෂ්ත්‍රයේ ජේෂ්ඨත්වයටම කරන්නාවූ අපහාසයකි ස ප විලසින් රූපයට නගමින් ඒ ජුගුප්සාජනක ක්‍රියාව තහවුරු කරයි විචාරකින් තොරව ලිංගික මානසිකත්වයෙන් පමණක්ම නරඹන්නන්ට මෙය ඔවුන්ගේ මනස කැඩපතකින් බලාගැනීමට සමාන වියහැක,Neutral
ගින්දර කොන්සෙප්ට් එක මොකද අපි හිතන ප්‍රවීණයගෙ දරුවොත් එතුමන්ට ගොඩක් වෙනස්කම් කරා,Neutral
ඉරාජ් අයියෙ උබ මේ වීඩියෝ එක වෙනුවෙන් පසුතැවෙනවනම් ඒ මෝඩ වැඩේ කරන්න එපා බන් නව්කයින්ට තැන දෙන්නැති කුහකයින්ට මේක හොද කනේ පහරක්  ❤️,offensive
අරුන් දෙන්න නානකොට ඒ දිහා බලන්නේ නැතුව කොමන්ටු කියවන්න පුළුවන්ද  🤭,Neutral
මේ තියෙන්නෙ ඩේසි ආච්චිගෙ මැණික් මල්ල වෙන්න බැයිද,Neutral
බලන උන් කෞද ඉන්නෙ 😅,Neutral
මොනා කිව්වත් සින්දුව පට්ට 😍 😍 😍 😍 😍 😘 😙,Neutral
බලන්න බැරි උන් ඉන්නව නම් නොබල ඉදපල්ල අපි බලනව,Neutral
මෙ ඒ කාලෙ කමෙන්ට් දාපු එවුන්ගෙ දැන් වයස කීයද දන්නෑ 😂 😂,Neutral
ඉරාජ් මුන් දෙන්නගෙ වැලක් ලීක් කරාම්කො  😒,Neutral
මගේ චැනල් ඒක සබිස්කරයිබි කරහන් බන්,Neutral
චමත්කා ඒකට වඩා මේකෙ හොදයිනෙ  😂,Neutral
මම මේකෙ කමෙන්ට් කියවනවා ඒවා හරි වීනෝදයි ඒයි  😂 😂,Neutral
අනේ අපේ උන් කතා කරන රෙද්දෙ සංස්කෘතිය ආච්චිට හාල් ගරන්න,offensive
ඉස්සර බැන්නට දැන් තමා තෙරෙන්නෙ,Neutral
අහන අය කෝ බලන්න  😍,Neutral
අයෙත් බලපු අය කො,Neutral
හුස්ම බලලා ආයේ චමත්කව බලන්න ආපු අය කෝ,Neutral
මේවට එන්නැද්ද බන් අර මාවත් සබ්ස්ක්‍රයිබ් කරන්න යාලුවනේ කියන උන්  😂 😂,Neutral
අර කුඩ්ඩා මොකක්ද බං කරන්නෙ මේකෙ,offensive
යකො හදිස්සියකට අහන්න පුලුවන් සින්දුද බං මේ  😅 මේවා ඉතින් යූටියුබ් එකෙම විතරයි තියෙන්නේ රෙඩියො එකෙවත් ඇහෙන්නැ කරුමෙ ඉරාජ් අංකල්  😅,Neutral
මොන හුත්තෙ සින්දුද මේ තු විතරක්,Hate
කවුරු හරි මට පෙන්නපං මේකිගෙ පිරිපුන් ලය මඩල ඒක නිකං දාං බෝඩ් එකක්නෙ,offensive
කකුලක් පිටක් දැක්කම චූන් වෙන උං දැං ලංකාවෙ නැහැ බං,Neutral
සින්දුව හරුම ලස්සනයි අවුරුද්දක් ගිහිල්ලාත් තාම අහනවා ♥️ ♥️,Neutral
යකෝ මට තියන ප්‍රශ්නෙ කැලේට අන්තර්ජාලය කොහෙන්ද කියලා,Neutral
පට්ට තමත් අහනවා නොදකින පැත්තක්,Neutral
මේ සින්දුව අහාන්න ආස අයයි මෙි විසුවල් එක නමි මාරයි කියන අය එන්න,Neutral
ඓසේ ඉරාජ් දේශපාලනය ගාවගන්නෙ නැතුව මේ වගේ ඒවා කරපං බං,Neutral
වැඩ නෑ හුත්තෝ බලන උන්,Hate
කයිස් ගේ රැප් වලට ඇත්තටම මම නම් හරි කැමති වෝයිස් එකත් පට්ට,Neutral
තාමත් මේක අහන උන් කෝ,Neutral
අඩෝ තාමත් මේකට ආසයි බං  ❤ ❤,Neutral
තාමත් මේකට ආස උන් කෝ,Neutral
ගිලා බැස්ස මහනුවර ගොඩනැගිල්ලේ හිමිකරුවා දැන් කියන කතාව,Neutral
මූ මැරෙන්නෙ නැ වගේ ගොනා,offensive
නිලමෙ තොගේ පුතා වෙන්න ඇති තොගෙ ලග ඉන්නේ තොපිට හෙනම ගහපිය කාලකන්නි තිරිසන් පවුල,Hate
මූට ඒක දැනිලා ගෙදර සේරම අරගෙන යන්න පුලුවන්නම් එක විනාඩියකට පහල තිබුන ගෙවල් වලට කිවුවනම් අර අහිංසක ජීවිත බේරගන්න තිබුනා මුන්ට ස්ව්භාව ධර්මෙන් හරි විදවන්න වෙනවා,Neutral
මූනෙන් පේනවා තියන නපුරුකම ගෑනිගෙයි මිනිහගෙයි පිටිපස්සෙන් ඉන්නෙ පුතා වෙන්නැති මයෙ හිතේ,Neutral
බැලුම පෙනවා සෙල්ලමි එකක් වාගෙ අනෙ දෙවියනෙ අල්ලපු ගෙද මිනිස්සු අවදි කරානමි මෙ දෙවල්වෙන්නෙ නැහැනේ නැහැනේ අනෙ ජිවිත තුනක් පවි දෙවියනෙ 😂 😂 😂 😂 😂,Neutral
ඒ ඉඩමි තහනම් කරන්න,Neutral
අම්මො පවු නිවන් සැප ලැබේවා,Neutral
තොපිට දැන්ද කැරි වේසිගේ පුතාලා මතක් උනේ බූමියේ අස්තාවරභාවය දැක්කේ මීට වඩා හොදයි තොපෙ අම්මලාට හුකාගනින්ලා මේ වගේ ගොඩනැගිලි කීයක් ඇතිද යකෝ අහින්සක ජීවිත ක් ඉවර උනාට පස්සේ තමයි සේරම රජයේ වැඩ කරන පරයෝ පගාවට තමා හැම දෙයක්ම,Hate
බොහොම කණගාටුයි සියළුම දෙනාටම නිවන් සුව පතමි,Neutral
නිවන්සුව ලැබේවා දෙයියනේ මොනවා කියන්න ද,Neutral
අමිමො පවු දෙයියනෙ නිවන්සුව ලැබෙිවා,Neutral
අවසනාවන්ත ලෙස මියගිය සියලු දෙනාට නිවන් සුව ලැබේවා  😂 😂 😂 😂,Neutral
තේරෙන්නෙ නැහැ දෙවියනේ මොනා කියන්නද  😢 😢 😢 😢 😢මේවගෙ දේවල් අහන්න දකින්න නොලැබේවා 🙏 🙏 🙏,Neutral
අනේ අමිමෙි හරිම දුකයි දෙයියනේ මතු උපදින ආත්මයෙක් වත් මෙවන් අකල් මරනෙයක් වෙන්න එපා  😪 😪 නිවන් සුව ලැබේවා,Neutral
මෙිවන් අකල් මරනයකට මතුඋපදින අත්මෙික සිදු නොවෙිවා පතමි  😪,Neutral
උපදින කිසිම ආත්මයක මෙවන් අකල් මරනයක් නොම වේවා,Neutral
අනේ දෙයියනෙ ආයෙ කිසිම ආත්මෙක මෙ වගෙ දෙයක් වෙන්න එපා නිවන් සුව ලැබෙවා දියනිය ඇතුලු දෙමාපියන් දෙදෙනාට,Neutral
මතු උපදින කිසිදු ආත්මයකදී මෙවන් අකල් මරණයට ලක් නොවේවා,Neutral
නිවන් සුව ලැබේවා තිදෙනාම  😥 😥 😥,Neutral
අනේ දෙවියනේ මොකක්ද මේ සිදු උනේ,Neutral
නිවන් සුව මෙවන් අකල් මරනයකට ගොදුරැ නොවෙවා,Neutral
පසුගිය කාලේ බුමිකපා ඇතිවු මහනුවර මේ රටට දේව සාපය තියෙන්නේ,Neutral
මස් ඒක හමාරේ ළමයා වෙනම තියනවා යැ අප්පා පව්,Neutral
අනේ පව් දෙයියනේනිවන් සුව පරාර්තමා කරමු,Neutral
වොයාලාට මනුස්සකමට හරි වහනෙ අරන් කටිටිය දාාගෙන යන එක නෙමෙ වැදගත් වොයාලත් අරෂාවෙලා අහල පහල ඉන්න අයවත් බෙරැවනමි වොය කතා කරෙ පුතාද අා පකො තොටවහනෙ රිවස්කරන්න වෙලාවතිබිබා මිනිස්සුන්ට කැගහලා කියන්න වෙලවනැ තොගෙ යටඑකට පොරොපරක් ගහගනින් වෙස බල්ලා අාමිමා තාත්තා ට දොාස්කියන්න බැ මොකද අපෙ වැඩිහිටි අය වොයවගෙ පස්නයකදි ඉක්මනින් ෂොක්වෙන නිසා එත් තරැන උබ පිරිමියෙක්ද,Hate
නුවර යනකොට පේනව සමහර ගෙවල් දැක්කම කකුල් පන නෑ හදපු විදියට,Neutral
විනාඩි යිලු තිබුනෙ හැබයි ගෙයි එක බඩු මුට්ටුවක් වත් තිබිල නෑ ඔක්කොම ඇදගෙන,Neutral
ඒ උනාට ඔච්චර දෙවල් කරන්න වේලා තිබුන අසල් වැසියන්ට කියන්න තරම් මනුස්සකමක් නැතිවුනද මුන්ට පාප කර්මයක් කරගත්තේ මාහා,Neutral
ඔය මිනීස්සූට කතා කරලා කියන්න තිබූනා චොදනා කරනවා කවුරු උනාන් බල්ලො හිටන් ඇරගෙන යන කොට අර මිනීස්සූන්ට කීවා නම් අද එ තුන්දෙනෙක් ඉන්නවා නෙද,Neutral
පල යන්න කූරියා මෝඩයන බල්ලා තොගේ පවුල ම හැදියාවෙන් බලපියයෝ අම්මා ට හැමනි,Hate
තොපි විතරක් බෙිරැනාම ඇති සක්කිලි නිලමෙි,offensive
පව් ඔබලාට හෙන ගහනවා පොඩක් අහල පහළ ම්නිසු මතක් උනේ නැද්ද,Neutral
මුං නම් මිනිස්සු නෙවෙයි තිරිසන්නුන්ටත් අන්තයි,offensive
තමුසෙ පොලිසියට කියපු වෙලේ ඒ මිනිස්සුන්ට කතා කරලා කිව්වනම් අද මේ මිනිස්සු ජීවත් වෙනෝ,Neutral
සමහරු ජීවත් වෙන්නේ ගොළු මිනිස්සු හැටියට දෙයියෝ බේරෙන්න ඕනේ ඒ වගේ අසල් වැසියන් ලැබෙන්නතුව කාටත්,Neutral
ඔය ඔක්කොම කරන කොට අසල්වැසි නිවෙස් වල අයටත් කියලා ගියා නම් මිනිස් කමටත් ගවුරවයක් බලය පාවිච්චි කරලා ඕවා ට අනුමැතිය ගන්න ඇත්තෙ ලංකාවේ හැටි එහෙනම නෙ,Neutral
මොනවා උනත් අහිංසක දරුවා දෙමව්පියෝ දෙන්නා නැති උනා පව් නිවන් සුව ලැබේවා  😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 😭 🙏,Neutral
තොපි හදපුගෙ යටවෙලා මැරුනානමිිි අපිදුක්වෙන්නැ හෙනගහාපියවිිි අමිිමට හුකන්න බොරු කියනවා සමරසිංහට බැරි උනාද අනිත්අයටත් කැගහන්න,Hate
හෙන ගහපන් පකේ ලෙව්කේ,Hate
වාහනය අරගෙන පැනලා යනකං පොඩ්ඩක් මතක් උනේ නැද්ද පල්ලෙහා ගෙදර ඉන්නව නේද කියලා මනුස්සයෝ අහිංසක ජීවිත තුනක් අපරාදේ නෙමෙයිද උඩ ඉන්න දෙවියන් උඹලට දඬුවම් අනිවාර්යෙන් කරනවා,Neutral
හොර කපුවො පණ පිටින් පනුවො ගහලා මැරෙනවා කියලා තමයි කියවෙන්නෙ මුං දෙයියො විකුනගෙන කාපුවගේ වන්දි ගෙව්වෙ අහිංසක පවුලක් හෙන ගහපං තොපිට,offensive
නාත දෙවියන්ට බාරයි  🙏 🙏 🙏සාදාරනය ඉශ්ට වේවා,Neutral
කෝ ඔය පස් මහල් නිවසේ අයිතිකරයා ඕක කරපු නිලදාරීන්,Neutral
පව් දෙයියනේ  😭 😭 😭 😭 😭 නිවන් සුවය ලැබේවා  🙏,Neutral
උඩරට ප්‍රදේශය වල ඉදිකිරිම් පිලිබදව අවධානය යොමු කරන්න,Neutral
මුලික දෙවල් නොකල බව පැහැදිලි ඇයි නිරෝධායන නිති මත අයතනයට කිූයාමාර්ග නොගන්නේ,Neutral
සියලුම දෙනාට තෙරුවන් සරණයි,Neutral
ගරු හමුදාපති ඔබතුට ගොඩාක් ස්තුති මේ රැකගන්න ජනතාව ගැන  👍 👍 👍 🙏 🙏 🙏,Neutral
දොස්තර වරැද වැරදි අනේ මන්දා පරිස්සමින් උනානම් හැමදෙම හරියනවා අහිංසක මිනිස්සු තමයි හැම අතින්ම අසරන වෙන්නෙ,Neutral
අනාවැකියට කියලා තිබුනා කොරෝනා වැඩි වෙින මාස දෙක දෙසැබර් මාසය එකේ පේුතිබලය,Neutral
සියලුම දෙනාටම ඉක්මන් සුවය ලැබේවා තෙරුවන් සරණයි,Neutral
අපි මෙි ගැහැණු කෙනාට චෝදනා කරලා හංවඩු ගහන සමහර රටවැසියන් තරයේ හෙළා දකිමු,Neutral
සැමියා නියම පිරිමියෙක් බුදු සරණයි,Neutral
ඔය ගාර්මන්ට් එකට ආව තැන තමයි හොයා ගන්න වෙන්නේ ඔක්කොම ආසාධිතයෝ වෙයිද,Neutral
පොඩ්ඩක් හොයල බැලුවොත් හොද නැද්ද ඔය ගාමන්ට් එකට අාව රෙදි වලින්ද එවා ගෙනාවේ කොරෝනට කලින්ද පස්සෙද කියල,Neutral
හිතාගන්න බේ මොකද්ද වෙන්නයන්නේ කියලා දෙඉයනේ බුදු සරණිඉ අපේ රටට  🙏 🙏 🙏 🙏,Neutral
ගාමන්ට් එකේ ඉන්න මහා එවුන්ට එකෙක් මැරුනත් වැඩ ඔනී කාලකන්නි ඔකුන්ට නිතිය ක්‍රියාත්මක කරන්න ජනාධිපති තුමනි,Neutral
කළමනාකාරීත්වයේ ඉන්න සක්කිලි අමන බල්ලන්ට දරුණු දඬුවම් පැනවිය යුතුයි,offensive
විදේශ ගතව සිට මෙරටට පැමිණි පසුනිරෝධායනය භාජනය නොවූ අයවලුන් ගෙන් මෙම ප්‍රශ්ණය ආ බව පෙනේ දේශපාලන ඛල්ලො මුං සෙරම පල් හොරු රට කනව,offensive
ෆැක්ට්‍රි වල ඉන්න ලොක්කොන්ට හුවල ගන්න ඕනේ මේ වගේ කාලෙක සැක සහිත රෝග පෙන්නුම් කරද්දි දිගටම ඒ මිනිස්සුන්ගෙන් වැඩ ගත්තට දැන් වෙලවට ඕඩර්ස් ඩිලිවරි කල හැකි උගෙ අම්මලට,Hate
රටේ තියන රජයේ රෙදිකම්හල් වහලා දුප්පත් මිනිසුන්ට කියලා දැම්මා ගාමන්ට් දැන් තමා ඒවායේ ප්‍රතිඵල,Neutral
තිරිසන් බල්ල්ලෝ මිනිස්සු හැඟෙන්නේ උබලා නිසා,offensive
මොන හුයන්නක්ද මීඩියා මේ කරන්නේ මිනිස්සු මැරුණත් කියන්නේ නැතිවෙයි,offensive
හොරු මංකොල්ලකාරයො යනවා වගේ කැමරා උස්සන් දුවන්නෙ මුන් ඇම්බියුලන්ස් එක ඇතුලට නගිනවා උන් පුලුවන් නම් ඒ ලමයව තවත් මානසිකව වට්ටන්න එපා පව්ව් සියලුම දෙනා සුව වේවා,Neutral
රූප රාමු නොමැතිව විස්තරය විතරක් තිබ්බානම් වඩාත් හොදයි,Neutral
මිනිසුන් පැන්ලා යන්නේ තමුසෙලාගේ කැමරාව හින්දා කවද්ද තමුලාගේ හැදියාව අපි දකින්නේ මේ හැම දේකටම වගකියන්ඩ ඔනේ ජනමාධ්‍ය,Neutral
මාද්‍ය සදාචාරය මැනවින් පිලිබිගු වෙනව,Neutral
කැමරා උස්සන් එන මාධ්‍ය බල්ලන්ගෙ අතපය කැඩිය යුතුයි,Hate
බලු මාධ්‍ය උබලෑ ගෙදර ගෑණුන්ව ගිහිල්ලා වීඩියෝ කරපල්ලා,offensive
ගෝටා මොකුත් කරන්නෙ නෑ බදුරුදීන් ඉන්නවානේ,Neutral
තම්බියෝ දැන් රගනවා වැඩී තුනෙන් දෙකේ ආණ්ඩුව ඇක්ශන් ගන්ඩ නැත්තන් අපිටත් රගන්න වෙයි,offensive
බලදාරි නෙ නිදියාවොත් වෙන්නෙ අපෙරට ව්නාස කරන එකයි,Neutral
අධිකරණ ඇමති කම දීලා තියනවා නේ මුස්ලිම් පාර්ශවයට දැන් මෙීවට නීතිය කෝ බදුර්දීන්ගේ මල්ලි එලියට ආවෙී කොහොමද ගෝඪාභය ජනාධිපති තුමනි අපි චන්දය දුන්නේ මෙීවා දකින්නද,Neutral
තිරිසන් තම්බින්ගෙ වැඩක් ඔකුන්ට දෙන්න තියෙන්නෙ ගෙවල්වලට පැනල අම්බානෙක,offensive
මුන් මේ උත්සාහ කරන්නේ ආගම් වාදය පතුරුවමින් රට විනාශ කරන්න,Neutral
මෙ ආණ්ඩුවෙන් විසිල් විතරයි බල්ටි නෑ අපි රැවටුනා,Neutral
කැරි දෙමල්ලු කන පැලෙන්න ගහන්න ඔනේ මුස්ලිම් බල්ලෝ,Hate
මම බෞද්ධ ඓ උනාට මෙවගෙ අන්තවාදී බල්ලන්ට හොද වැඩක් කරන්න ඕන  😠 😠 😠 😡 😡,offensive
අන්ත වාදියෝ නිදහස්කරාම ඔය වගේ දේවල් ආයෙත් වෙනව අපට දුකයි මේ ආණ්ඩුව වෙනුවෙන් කඩේගිහින් ජන්දෙ දීල අන්තවාදියෝ හුරතල් කරනවට,Neutral
මේ සක්කිලින්ට ගූ ගහල අපේ රටෙන් එලවන්න ඔනා කොයි රජය ආවත් එකයි මුන්ට බයයි,Hate
මුස්ලිමි හැත්තගෙ පල්ලි කුඩු කරානමි දවස ගානේ හරි,Hate
යකෝ අපි අවි ගන්න වා,offensive
අපේ රට කනව අන්තවාදි හුත්ත ඔකුන්ගේ අම්මලට හුකවන්න ඔන බල්ලෝ දාල,Hate
මුංගේ අමිමලගේ නිතිය ඇයි මේවලට නිහඩ රජය පල්ලි කඩලා ගෙවල් හදන්න තොපි හිගන්නොද කාලකන්නි ශිකුරැසියේ සාපය තොපිලට දෙවි,offensive
සමනල්ලූ කොරපු කෙරැම් තමා ඉතින්  🤬 🤬 🤬,offensive
ඕකට උපරිම දඩුවම් දිය යුතුයි මේකට ආගම් භේදයකින් තොරව නැගී සිටිමු,Neutral
අැයි බැසිල් ගෙ පැලෑනට අන්තවාදි තම්බිල සෙට් කරගෙන නෙ ඉන්නෙ ඡන්දෙට කලින් කොහොම ද කීවෙ,offensive
තවත් සහරාන් ලා ඉන්නො ලංකාවේ හැමතැනම,Neutral
මුස්ලිම් හැත්තෙ බහුතරය ඕවට යටින් කැමතියි උඩින් අකමැතියි මේ පතෝල ආණ්ඩු වල ඉන්න බබාලට පුලුවන් මගුලක් නෑ,Hate
පුලුවන් ඉක්මනින් ක්‍රියාත්මක වෙන්න බලදාරීන් ගේ ඇස් ඇරේවා,Neutral
නියමයි හාමුදුරුවෝ කියන්නෙ මොකක්ද කියා ඇහුවෙ නෑනෙ මුසල්මාන් අන්ත වාදිින්⁣ තවත් හුරතල් කරමු,Neutral
මෙය තවත් අන්තවාදී ප‍්‍රහාරයක මූලාරම්භය විය හැක මෙහි නායකයින් සොයාබලා දඩුවම් දී ඔවුන් ගේ සංවිධාන ගැන පරීක්ෂණ කළ යුතුයි නැත්තම් ගිය ආණ්ඩුවෙ වගේ අත හෝදා ගැනීමක් වෙනවා,Neutral
බෞද්ධ භික්ෂූන් වහන්සේලා උගුර ලේ රහා වෙනකල් කැ ගැහුවෙි ඔය වගේ දෙවල් වෙන නිසා නමුත් සමහර අය හාමුදුරැවරැන්ට හිනා උනා අපහාස කලා අන්තවාදින් කියලා බැන්න දැන් පෙනවා නේද වෙලා තියන දේවල් දැන්වත් බෞද්ධ කතෝලික ක්‍රිස්තියානි සැවොම එකාමෙන් සිටිම අනිවාර්ය වෙි,Neutral
අපේ බුද්ධ ප්‍රතිමා කැඩුවා අරන්තලාවෙ භික්ෂූන් මැරුවා ඒ කලේ දැන් ඉන්න පුජක තුමන්ලා කොහෙද හිටියේ නිකම්වත් කටක් ඇරලා කනගාටුව ප්‍රකාශ කෙරුවද කතෝලිකයන්ට රිදුනොත් විතරයි කට ඇරෙන්නෙ මට දොස් කියන්නෙ නැතුව ටිකක් හිතලා බලන්න,Neutral
සිංහල ජාතිය වෙිසකමි කරල තමයි අවජාතක ලමයි හදන්නෙ,Hate
එතකොට පොලිසියේ උන් බඩු ගහන්නෙම නැද්ද 🙄 🙄 🙄,offensive
මුහුනු බොද නොකර පෙන්නපල්ලා අපිටත් බලගන්න,Neutral
පිටකොටුවෙ ඉන්න නාවර පෙරාගත්තු ගෑනු ටිකත් අල්ලපියවු,Neutral
